name,accession_code
dengue_virus_type_1,NC_001477.1
dengue_virus_type_1,PQ357536.1
dengue_virus_type_1,PQ357537.1
dengue_virus_type_1,PQ357538.1
dengue_virus_type_1,PQ357540.1
dengue_virus_type_2,NC_001474.2
dengue_virus_type_2,PQ465587.1
dengue_virus_type_2,PQ357519.1
dengue_virus_type_2,PP546320.1
dengue_virus_type_2,PQ357520.1
dengue_virus_type_3,NC_001475.2
dengue_virus_type_3,PP586198.1
dengue_virus_type_3,PQ357511.1
dengue_virus_type_3,PQ357512.1
dengue_virus_type_3,PQ203299.1
dengue_virus_type_4,NC_002640.1
dengue_virus_type_4,PP586203.1
dengue_virus_type_4,PQ357326.1
dengue_virus_type_4,OL314735.1
dengue_virus_type_4,OL314736.1
Chikungunya_virus,NC_004162.2
Chikungunya_virus,PQ261036.1
Chikungunya_virus,PQ261037.1
Chikungunya_virus,PP896894.1
Chikungunya_virus,PP896895.1
Equine_encephalosis_virus,NC_038574.1
Equine_encephalosis_virus,NC_038575.1
Equine_encephalosis_virus,NC_038576.1
Equine_encephalosis_virus,NC_038577.1
Equine_encephalosis_virus,NC_038578.1
Mayaro_virus,NC_003417.1
Mayaro_virus,PP505831.1
Mayaro_virus,PP505832.1
Mayaro_virus,OP628214.1
Mayaro_virus,MT227562.1
West_Nile_virus,NC_009942.1
West_Nile_virus,NC_001563.2
West_Nile_virus,PP524755.1
West_Nile_virus,PP524756.1
West_Nile_virus,LC817237.1
Zika_virus,NC_035889.1
Zika_virus,NC_012532.1
Zika_virus,PQ203661.1
Zika_virus,PQ129494.1
Zika_virus,PQ129495.1
Alphacoronavirus,NC_054003.1
Alphacoronavirus,NC_054004.1
Alphacoronavirus,NC_054015.1
Alphacoronavirus,NC_055953.1
Alphacoronavirus,NC_076629.1
